> from tabulate import tabulate
> print tabulate(sp500, headers='keys', tablefmt='psql', showindex=False)

(then grab it all and seperate by the find-all on the '\n' to seperate the rows)


+---------+---------+---------+---------+------------------+-------------+----------------+
|    Open |    High |     Low |   Close |           Volume |   Dividends |   Stock Splits |
|   25.45 |   25.45 |   25.45 |   25.45 |      0           |           0 |              0 |
|   25.74 |   25.74 |   25.74 |   25.74 |      0           |           0 |              0 |
|   25.84 |   25.84 |   25.84 |   25.84 |      0           |           0 |              0 |
|   25.64 |   25.64 |   25.64 |   25.64 |      0           |           0 |              0 |
|   25.7  |   25.7  |   25.7  |   25.7  |      0           |           0 |              0 |
|   25.49 |   25.49 |   25.49 |   25.49 |      0           |           0 |              0 |
|   24.71 |   24.71 |   24.71 |   24.71 |      0           |           0 |              0 |
|   24.44 |   24.44 |   24.44 |   24.44 |      0           |           0 |              0 |
|   24.98 |   24.98 |   24.98 |   24.98 |      0           |           0 |              0 |
|   24.95 |   24.95 |   24.95 |   24.95 |      0           |           0 |              0 |
|   24.85 |   24.85 |   24.85 |   24.85 |      0           |           0 |              0 |
|   24.35 |   24.35 |   24.35 |   24.35 |      0           |           0 |              0 |
|   24.39 |   24.39 |   24.39 |   24.39 |      0           |           0 |              0 |
|   24.38 |   24.38 |   24.38 |   24.38 |      0           |           0 |              0 |
|   24.59 |   24.59 |   24.59 |   24.59 |      0           |           0 |              0 |
|   24.86 |   24.86 |   24.86 |   24.86 |      0           |           0 |              0 |
|   24.91 |   24.91 |   24.91 |   24.91 |      0           |           0 |              0 |
|   24.95 |   24.95 |   24.95 |   24.95 |      0           |           0 |              0 |
|   25.25 |   25.25 |   25.25 |   25.25 |      0           |           0 |              0 |
|   25.59 |   25.59 |   25.59 |   25.59 |      0           |           0 |              0 |
|   25.83 |   25.83 |   25.83 |   25.83 |      0           |           0 |              0 |
|   25.49 |   25.49 |   25.49 |   25.49 |      0           |           0 |              0 |
|   25.32 |   25.32 |   25.32 |   25.32 |      0           |           0 |              0 |
|   24.92 |   24.92 |   24.92 |   24.92 |      0           |           0 |              0 |
|   25.15 |   25.15 |   25.15 |   25.15 |      0           |           0 |              0 |
|   25.31 |   25.31 |   25.31 |   25.31 |      0           |           0 |              0 |
|   24.95 |   24.95 |   24.95 |   24.95 |      0           |           0 |              0 |
|   24.97 |   24.97 |   24.97 |   24.97 |      0           |           0 |              0 |
|   25.24 |   25.24 |   25.24 |   25.24 |      0           |           0 |              0 |
|   25.73 |   25.73 |   25.73 |   25.73 |      0           |           0 |              0 |
|   26.08 |   26.08 |   26.08 |   26.08 |      0           |           0 |              0 |
|   26.04 |   26.04 |   26.04 |   26.04 |      0           |           0 |              0 |
|   26.03 |   26.03 |   26.03 |   26.03 |      0           |           0 |              0 |
|   26.02 |   26.02 |   26.02 |   26.02 |      0           |           0 |              0 |
|   25.9  |   25.9  |   25.9  |   25.9  |      0           |           0 |              0 |
|   25.55 |   25.55 |   25.55 |   25.55 |      0           |           0 |              0 |
|   24.51 |   24.51 |   24.51 |   24.51 |      0           |           0 |              0 |
|   24.35 |   24.35 |   24.35 |   24.35 |      0           |           0 |              0 |
|   25.09 |   25.09 |   25.09 |   25.09 |      0           |           0 |              0 |
|   25.53 |   25.53 |   25.53 |   25.53 |      0           |           0 |              0 |
|   24.88 |   24.88 |   24.88 |   24.88 |      0           |           0 |              0 |
|   25.17 |   25.17 |   25.17 |   25.17 |      0           |           0 |              0 |
|   24.86 |   24.86 |   24.86 |   24.86 |      0           |           0 |              0 |
|   25.3  |   25.3  |   25.3  |   25.3  |      0           |           0 |              0 |
|   25.05 |   25.05 |   25.05 |   25.05 |      0           |           0 |              0 |
|   24.83 |   24.83 |   24.83 |   24.83 |      0           |           0 |              0 |
|   24.63 |   24.63 |   24.63 |   24.63 |      0           |           0 |              0 |
|   24.78 |   24.78 |   24.78 |   24.78 |      0           |           0 |              0 |
|   25.06 |   25.06 |   25.06 |   25.06 |      0           |           0 |              0 |
|   25.15 |   25.15 |   25.15 |   25.15 |      0           |           0 |              0 |
|   25    |   25    |   25    |   25    |      0           |           0 |              0 |
|   25.06 |   25.06 |   25.06 |   25.06 |      0           |           0 |              0 |
|   25.32 |   25.32 |   25.32 |   25.32 |      0           |           0 |              0 |
|   25.43 |   25.43 |   25.43 |   25.43 |      0           |           0 |              0 |
|   25.41 |   25.41 |   25.41 |   25.41 |      0           |           0 |              0 |
|   25.7  |   25.7  |   25.7  |   25.7  |      0           |           0 |              0 |
|   25.85 |   25.85 |   25.85 |   25.85 |      0           |           0 |              0 |
|   25.75 |   25.75 |   25.75 |   25.75 |      0           |           0 |              0 |
|   25.63 |   25.63 |   25.63 |   25.63 |      0           |           0 |              0 |
|   25.58 |   25.58 |   25.58 |   25.58 |      0           |           0 |              0 |
|   25.53 |   25.53 |   25.53 |   25.53 |      0           |           0 |              0 |
|   25.94 |   25.94 |   25.94 |   25.94 |      0           |           0 |              0 |
|   25.99 |   25.99 |   25.99 |   25.99 |      0           |           0 |              0 |
|   26.11 |   26.11 |   26.11 |   26.11 |      0           |           0 |              0 |
|   26.37 |   26.37 |   26.37 |   26.37 |      0           |           0 |              0 |
|   26.32 |   26.32 |   26.32 |   26.32 |      0           |           0 |              0 |
|   26.07 |   26.07 |   26.07 |   26.07 |      0           |           0 |              0 |
|   26.18 |   26.18 |   26.18 |   26.18 |      0           |           0 |              0 |
|   26.02 |   26.02 |   26.02 |   26.02 |      0           |           0 |              0 |
|   26.34 |   26.34 |   26.34 |   26.34 |      0           |           0 |              0 |
|   25.64 |   25.64 |   25.64 |   25.64 |      0           |           0 |              0 |
